fragment_smiles,count
[3*]OC,836
[1*]C([6*])=O,523
[8*]CO,398
[16*]c1ccccc1,336
[7*]CC,325
[7*]CC[7*],325
[6*]C(=O)O,304
[8*]C(C)C,285
[8*]CC(C)C,268
[1*]C(C)=O,258
[7*]C(C)C,188
[16*]c1ccc(O)cc1,186
[8*]CC,180
[1*]C(=O)C[7*],176
[8*]Cc1ccccc1,139
[7*]CC([7*])C,139
[7*]CC[8*],130
[8*][C@@H](C)CC,116
[16*]c1c[nH]c2ccccc12,113
[5*]N(C)C,111
[5*]N([5*])C,109
[7*]C([8*])C,94
[1*]C([1*])=O,91
[1*]C(N)=O,90
[8*]CC(N)=O,82
[1*]C(=O)CN[5*],78
[8*][C@@H](C)O,76
[1*]C(=O)[C@H](CO)N[5*],75
[5*]NC,75
[14*]c1csc([14*])n1,71
[8*]Cc1ccc(O)cc1,69
[5*]N1CCC[C@H]1[13*],69
[8*]CCC(N)=O,68
[3*]OC[8*],67
[5*]N[C@@H](C[8*])C(=O)O,65
[16*]c1cccc(O)c1O,58
[8*]Cc1c[nH]c2ccccc12,56
[7*]CCCC([7*])C,55
[7*]CC(=O)O,55
[5*]NC(=N)N,54
[11*]SC,54
[1*]C(=O)[C@@H](N[5*])C(C)C,53
[1*]C(=O)[C@H](C)N[5*],52
[1*]C(=O)[C@H](C[8*])N[5*],51
[1*]C(=O)[C@H](CC(C)C)N[5*],50
[8*]C(C)CC,49
[9*]n1ccc(=O)[nH]c1=O,49
[8*]CC(=O)O,47
[1*]C(=O)C([7*])N[5*],46
[8*]CCCCC,44
[16*]c1ccc([16*])cc1,42
[4*]CC[7*],42
[8*][C@H](C)CC,42
[8*]CN,38
[13*][C@@H]1O[C@H]([13*])[C@@H](O)[C@H]1O,37
[1*]C(=O)[C@H](N[5*])[C@@H](C)O,37
[6*]C(C)=O,37
[1*]C(=O)C([7*])C,36
[8*]C(C)O,35
[13*][C@@H]1O[C@H]([13*])[C@@H](O)[C@H](O)[C@H]1O,35
[3*]O[C@@H]1O[C@H]([13*])[C@@H](O)[C@H](O)[C@H]1O,35
[13*][C@H]1O[C@H]([13*])[C@@H](O)[C@H](O)[C@H]1O,33
[3*]O[C@H]1O[C@H]([13*])[C@@H](O)[C@H](O)[C@H]1O,33
[7*]CCC,33
[1*]C(=O)[C@H](CCCN=C(N)N)N[5*],32
[3*]OS(=O)(=O)O,31
[1*]C(=O)C(CC(C)C)N[5*],30
[7*]CCC[8*],29
[1*]C(=O)CC,28
[8*]C(C)(C)C=C,28
[8*]Cc1ccc([16*])cc1,28
[8*][C@H](C)O,28
[1*]C(=O)[C@@H](C)N[5*],28
[8*]CCC,28
[8*]C([8*])O,27
[6*]C([6*])=O,27
[7*]CCCC[7*],27
[3*]OCC[7*],26
[8*]CCO,26
[1*]C(=O)[C@@H](N[5*])[C@@H](C)CC,25
[8*]CCCC,25
[16*]c1cccc(O)c1,25
[16*]c1ccccc1O,24
[5*]NC(C[8*])C(=O)O,24
[5*]NCCCCN,24
[1*]C(=O)[C@@H](CC(C)C)N[5*],24
[7*]Cc1ccc(O)cc1,23
[1*]C(=O)[C@@H](N[5*])[C@@H](C)O,23
[1*]C(=O)[C@@H](CO)N[5*],23
[7*]C(C)C(=O)O,23
[5*]N1CCCC1[13*],22
[8*]C(C)(C)O,22
[5*]NC=O,22
[1*]C(=O)C(CO)N[5*],22
[8*]CCC(=O)O,21
[8*]CCCN(O)C=O,21
[14*]c1cnc[nH]1,21
[7*]Cc1ccccc1C[7*],21
[1*]C(=O)[C@@H](C[8*])N[5*],21
[7*]Cc1ccccc1,20
[14*]c1cc(O)cc(=O)o1,20
[8*]CCCN,20
[1*]C(=O)[C@H](CCC(N)=O)N[5*],20
